Tempo (ms),Lead I (uV),Lead II (uV),Lead III (uV),aVR (uV),aVL (uV),aVF (uV),V1 (uV),V2 (uV),V3 (uV),V4 (uV),V5 (uV),V6 (uV)
0,176.41,83.66,-92.75,-130.01,134.58,-4.52,-21.16,65.53,198.62,170.35,153.23,95.78
1,169.34,63.52,-105.83,-116.40,137.61,-21.16,-15.10,67.51,191.56,165.35,147.18,86.69
2,158.28,61.50,-96.79,-109.87,127.56,-17.65,-12.07,67.51,191.56,158.28,144.15,88.71
3,162.32,68.52,-93.81,-115.39,128.09,-12.65,-2.98,76.59,200.64,165.35,153.23,104.82
4,153.23,59.48,-93.76,-106.36,123.52,-17.12,0.96,78.61,199.63,165.35,151.22,93.76
5,147.18,53.42,-93.76,-100.30,120.49,-20.15,-6.01,75.58,192.56,156.26,136.07,73.56
6,142.13,49.38,-92.75,-95.73,117.46,-21.68,2.98,78.61,194.58,159.29,137.08,80.63
7,130.06,42.31,-87.75,-86.16,108.90,-22.69,3.99,74.57,188.53,155.25,137.08,79.62
8,132.08,47.36,-84.72,-89.72,108.42,-18.66,-6.01,61.50,174.39,144.15,127.03,71.54
9,145.16,61.50,-83.66,-103.33,114.43,-11.06,-7.02,56.45,172.37,143.14,126.02,74.57
10,143.14,57.46,-85.68,-100.30,114.43,-14.09,-10.05,55.44,168.33,139.10,125.01,73.56
11,143.14,60.49,-82.65,-101.79,112.89,-11.06,-5.00,58.47,170.35,140.11,126.02,75.58
12,140.11,64.52,-75.58,-102.32,107.85,-5.53,0.96,59.48,171.36,141.12,126.02,70.53
13,115.92,41.30,-74.62,-78.61,95.30,-16.64,0.00,55.44,167.37,135.06,120.97,62.51
14,105.83,28.22,-77.60,-67.03,91.74,-24.67,1.97,56.45,164.34,132.08,116.93,60.49
15,90.73,19.14,-71.59,-54.91,81.16,-26.20,8.03,60.49,169.34,134.10,114.91,55.44
16,78.61,9.04,-69.57,-43.80,74.09,-30.24,13.08,65.53,172.37,136.07,112.89,54.43
17,78.61,9.04,-69.57,-43.80,74.09,-30.24,25.19,74.57,175.40,137.08,109.87,47.36
18,60.49,2.98,-57.50,-31.73,59.00,-27.26,34.23,78.61,184.49,145.16,117.94,58.47
19,46.35,-3.99,-50.34,-21.16,48.32,-27.17,37.26,80.63,186.51,146.17,117.94,60.49
20,40.29,-13.08,-53.37,-13.61,46.83,-33.22,46.35,86.69,182.47,142.13,107.85,36.25
21,36.25,-18.13,-54.38,-9.04,45.29,-36.25,48.37,86.69,181.46,139.10,103.81,29.23
22,29.23,-25.19,-54.43,-2.02,41.83,-39.81,50.39,89.72,181.46,137.08,100.83,32.26
23,28.22,-30.24,-58.47,1.01,43.32,-44.33,54.43,90.73,178.43,135.06,97.80,24.18
24,28.22,-30.24,-58.47,1.01,43.32,-44.33,62.51,94.77,179.44,136.07,97.80,24.18
25,25.19,-33.27,-58.47,4.04,41.83,-45.87,67.51,97.80,178.43,134.10,95.78,27.21
26,24.18,-49.38,-73.56,12.60,48.85,-61.45,66.54,97.80,173.38,128.04,87.70,7.02
27,21.16,-63.52,-84.67,21.16,52.89,-74.09,72.55,107.85,173.38,124.00,80.63,0.96
28,22.17,-58.47,-80.63,18.13,51.40,-69.53,73.56,106.84,166.36,116.93,73.56,-0.96
29,20.15,-62.51,-82.65,21.16,51.40,-72.55,72.55,101.79,161.31,111.88,68.52,-7.02
30,16.11,-65.53,-81.64,24.71,48.85,-73.56,73.56,104.82,159.29,111.88,66.54,-8.03
31,12.07,-65.53,-77.60,26.73,44.81,-71.54,73.56,103.81,159.29,112.89,67.51,-10.05
32,14.09,-72.55,-86.64,29.23,50.34,-79.57,71.54,102.80,157.27,106.84,62.51,-11.06
33,9.04,-78.61,-87.65,34.76,48.32,-83.13,68.52,96.79,153.23,102.80,57.46,-14.09
34,16.11,-73.56,-89.67,28.70,52.89,-81.59,69.53,99.82,154.24,101.79,55.44,-13.08
35,25.19,-77.60,-102.80,26.20,64.00,-90.20,64.52,96.79,146.17,96.79,49.38,-16.11
36,8.03,-91.74,-99.77,41.83,53.90,-95.73,59.48,87.70,139.10,92.75,45.34,-20.15
37,12.07,-75.58,-87.65,31.73,49.86,-81.59,70.53,100.83,148.19,98.81,52.41,-22.17
38,12.07,-72.55,-84.62,30.24,48.32,-78.56,76.59,104.82,154.24,103.81,56.45,-18.13
39,8.03,-85.68,-93.71,38.80,50.87,-89.67,69.53,97.80,148.19,96.79,48.37,-13.08
40,7.02,-87.70,-94.72,40.34,50.87,-91.21,71.54,99.82,146.17,95.78,46.35,-13.08
41,0.00,-88.71,-88.71,44.33,44.33,-88.71,72.55,98.81,142.13,91.74,43.32,-20.15
42,5.00,-80.63,-85.63,37.79,45.29,-83.13,69.53,94.77,142.13,91.74,43.32,-19.14
43,0.96,-81.64,-82.60,40.34,41.78,-82.12,69.53,92.75,143.14,91.74,44.33,-16.11
44,3.99,-87.70,-91.69,41.83,47.84,-89.67,66.54,91.74,139.10,89.72,43.32,-19.14
45,14.09,-72.55,-86.64,29.23,50.34,-79.57,74.57,98.81,145.16,94.77,46.35,-14.09
46,15.10,-75.58,-90.68,30.24,52.89,-83.13,76.59,102.80,146.17,94.77,44.33,-22.17
47,1.97,-85.68,-87.65,41.83,44.81,-86.64,70.53,94.77,141.12,95.78,49.38,-9.04
48,3.99,-75.58,-79.57,35.77,41.78,-77.55,77.60,95.78,145.16,97.80,52.41,-5.00
49,3.99,-83.66,-87.65,39.81,45.82,-85.63,72.55,95.78,144.15,92.75,45.34,-19.14
50,8.03,-81.64,-89.67,36.78,48.85,-85.63,59.48,90.73,139.10,89.72,44.33,-18.13
51,20.15,-77.60,-97.75,28.70,58.95,-87.65,63.52,94.77,140.11,91.74,44.33,-26.20
52,11.06,-77.60,-88.66,33.27,49.86,-83.13,68.52,97.80,143.14,92.75,46.35,-25.19
53,14.09,-74.57,-88.66,30.24,51.35,-81.59,71.54,98.81,143.14,96.79,51.40,-20.15
54,15.10,-77.60,-92.70,31.25,53.90,-85.15,71.54,97.80,142.13,97.80,51.40,-20.15
55,12.07,-78.61,-90.68,33.27,51.35,-84.62,70.53,96.79,144.15,98.81,52.41,-17.12
56,12.07,-79.62,-91.69,33.75,51.88,-85.63,70.53,95.78,144.15,98.81,53.42,-10.05
57,13.08,-78.61,-91.69,32.74,52.36,-85.15,69.53,94.77,141.12,95.78,47.36,-18.13
58,6.01,-90.73,-96.74,42.36,51.35,-93.71,70.53,95.78,139.10,95.78,44.33,-28.22
59,-0.96,-92.75,-91.79,46.83,45.39,-92.27,70.53,93.76,140.11,96.79,46.35,-24.18
60,8.03,-81.64,-89.67,36.78,48.85,-85.63,72.55,96.79,141.12,97.80,47.36,-24.18
61,14.09,-76.59,-90.68,31.25,52.36,-83.61,71.54,96.79,142.13,96.79,50.39,-19.14
62,20.15,-68.52,-88.66,24.18,54.38,-78.56,70.53,93.76,143.14,99.82,50.39,-18.13
63,33.27,-60.49,-93.76,13.61,63.52,-77.12,71.54,98.81,144.15,99.82,50.39,-21.16
64,41.30,-54.43,-95.73,6.54,68.52,-75.05,73.56,100.83,146.17,101.79,54.43,-18.13
65,25.19,-55.44,-80.63,15.10,52.89,-68.03,77.60,100.83,146.17,102.80,54.43,-21.16
66,-2.98,-74.57,-71.59,38.75,34.28,-73.08,69.53,92.75,141.12,97.80,52.41,-14.09
67,-8.03,-87.70,-79.67,47.84,35.82,-83.71,65.53,88.71,139.10,97.80,53.42,-14.09
68,7.02,-69.53,-76.55,31.25,41.78,-73.04,68.52,90.73,141.12,97.80,53.42,-22.17
69,19.14,-61.50,-80.63,21.16,49.86,-71.06,67.51,89.72,139.10,94.77,48.37,-26.20
70,16.11,-64.52,-80.63,24.18,48.37,-72.55,68.52,91.74,142.13,99.82,50.39,-25.19
71,15.10,-59.48,-74.57,22.17,44.81,-67.03,73.56,96.79,153.23,108.86,57.46,-16.11
72,12.07,-65.53,-77.60,26.73,44.81,-71.54,78.61,103.81,159.29,111.88,57.46,-20.15
73,-2.98,-82.65,-79.67,42.79,38.32,-81.16,87.70,110.87,164.34,112.89,52.41,-25.19
74,-10.05,-84.67,-74.62,47.36,32.26,-79.67,100.83,124.00,175.40,118.95,51.40,-28.22
75,-15.10,-82.65,-67.55,48.85,26.20,-75.10,112.89,137.08,185.50,124.00,47.36,-39.28
76,-17.12,-82.65,-65.53,49.86,24.18,-74.09,130.06,155.25,207.66,136.07,48.37,-49.38
77,-27.21,-92.75,-65.53,59.96,19.14,-79.14,140.11,168.33,218.77,141.12,51.40,-55.44
78,-24.18,-91.74,-67.55,57.94,21.68,-79.67,152.22,179.44,220.79,141.12,47.36,-56.45
79,-7.02,-78.61,-71.59,42.79,32.26,-75.10,160.30,189.54,221.80,142.13,44.33,-63.52
80,0.00,-73.56,-73.56,36.78,36.78,-73.56,145.16,174.39,207.66,141.12,48.37,-56.45
81,-0.96,-47.36,-46.40,24.14,22.69,-46.88,134.10,159.29,202.61,150.21,69.53,-34.23
82,-5.00,-35.24,-30.24,20.10,12.60,-32.74,121.98,141.12,194.58,159.29,91.74,-23.18
83,8.03,-14.09,-22.12,3.03,15.05,-18.08,95.78,111.88,187.52,176.41,119.96,-0.96
84,14.09,1.97,-12.12,-8.03,13.13,-5.05,64.52,79.62,178.43,190.55,151.22,29.23
85,15.10,8.03,-7.07,-11.54,11.11,0.48,35.24,46.35,160.30,196.60,176.41,52.41
86,15.10,34.23,19.14,-24.67,-2.02,26.69,-0.96,0.00,132.08,200.64,202.61,80.63
87,22.17,50.39,28.22,-36.25,-3.03,39.33,-34.23,-44.33,109.87,206.65,228.87,107.85
88,31.25,72.55,41.30,-51.88,-5.00,56.93,-65.53,-87.70,84.67,206.65,249.01,131.07
89,16.11,80.63,64.52,-48.37,-24.18,72.60,-100.83,-136.07,54.43,204.63,271.18,158.28
90,19.14,86.69,67.55,-52.89,-24.18,77.12,-125.01,-166.36,50.39,220.79,304.45,192.56
91,32.26,99.82,67.55,-66.02,-17.65,83.71,-143.14,-185.50,50.39,239.92,339.74,223.82
92,39.28,100.83,61.54,-70.05,-11.11,81.21,-167.37,-213.72,18.13,231.90,359.94,252.04
93,57.46,99.82,42.36,-78.61,7.55,71.11,-190.55,-239.92,-27.21,198.62,355.90,272.19
94,74.57,95.78,21.20,-85.15,26.69,58.51,-201.65,-249.01,-55.44,174.39,349.84,285.31
95,90.73,85.68,-5.05,-88.18,47.89,40.34,-210.69,-257.09,-87.70,144.15,338.73,302.48
96,112.89,78.61,-34.28,-95.73,73.61,22.17,-215.74,-259.11,-116.93,112.89,318.59,310.51
97,129.05,82.65,-46.40,-105.83,87.75,18.13,-218.77,-258.10,-145.16,78.61,290.36,311.52
98,146.17,75.58,-70.58,-110.87,108.37,2.50,-226.85,-256.08,-170.35,45.34,269.16,326.66
99,173.38,77.60,-95.78,-125.49,134.58,-9.09,-236.90,-253.05,-187.52,19.14,248.00,332.72
100,190.55,85.68,-104.86,-138.09,147.71,-9.57,-228.87,-234.92,-191.56,-5.00,215.74,321.61
101,194.58,84.67,-109.91,-139.63,152.27,-12.60,-224.83,-227.86,-207.66,-35.24,169.34,297.43
102,179.44,79.62,-99.82,-129.53,139.63,-10.10,-228.87,-232.90,-252.04,-95.78,90.73,261.13
103,171.36,105.83,-65.53,-138.57,118.47,20.15,-243.96,-255.07,-298.44,-142.13,42.31,254.06
104,197.61,160.30,-37.31,-178.96,117.46,61.50,-295.41,-310.51,-369.02,-182.47,23.18,274.21
105,208.67,194.58,-14.09,-201.60,111.40,90.25,-328.68,-348.83,-420.42,-218.77,1.97,282.28
106,201.65,214.73,13.08,-208.19,94.29,113.90,-359.94,-385.13,-463.79,-235.89,0.96,299.45
107,205.64,256.08,50.44,-230.84,77.60,153.28,-390.18,-422.44,-495.04,-226.85,28.22,337.72
108,215.74,307.48,91.74,-261.61,62.02,199.63,-425.47,-466.82,-509.13,-205.64,63.52,374.02
109,212.71,344.79,132.08,-278.73,40.34,238.43,-474.85,-523.27,-543.41,-204.63,84.67,406.29
110,217.76,402.29,184.54,-310.03,16.64,293.44,-536.39,-598.90,-591.83,-196.60,112.89,443.60
111,229.88,451.67,221.80,-340.75,4.04,336.76,-617.02,-695.69,-675.49,-223.82,114.91,468.84
112,259.11,485.96,226.85,-372.53,16.16,356.43,-691.65,-788.43,-784.39,-294.40,80.63,489.99
113,273.20,513.17,239.97,-393.16,16.64,376.57,-772.33,-893.30,-919.50,-396.24,11.06,495.04
114,252.04,522.26,270.22,-387.15,-9.09,396.24,-824.73,-974.94,-1056.63,-518.22,-84.67,477.88
115,230.89,485.96,255.07,-358.40,-12.07,370.51,-816.66,-991.10,-1150.39,-629.14,-194.58,429.51
116,189.54,385.13,195.59,-287.33,-3.03,290.36,-767.28,-969.94,-1261.31,-793.48,-365.99,321.61
117,132.08,285.31,153.23,-208.67,-10.58,219.30,-713.81,-945.71,-1395.41,-988.07,-568.66,202.61
118,64.52,179.44,114.91,-121.98,-25.19,147.18,-627.12,-880.17,-1468.01,-1137.31,-743.05,77.60
119,-3.99,99.82,103.81,-47.89,-53.90,101.79,-535.38,-795.50,-1478.11,-1221.98,-849.93,-11.06
120,-87.70,36.25,123.95,25.72,-105.83,80.10,-483.94,-755.16,-1498.25,-1287.52,-926.57,-72.55
121,-127.03,-50.39,76.64,88.71,-101.84,13.13,-406.29,-676.50,-1468.01,-1309.73,-962.87,-121.98
122,-128.04,-94.77,33.27,111.40,-80.68,-30.77,-310.51,-566.64,-1365.17,-1254.24,-934.65,-138.09
123,-148.19,-112.89,35.29,130.54,-91.74,-38.80,-242.95,-494.03,-1284.49,-1195.78,-899.36,-156.26
124,-164.34,-106.84,57.50,135.59,-110.92,-24.67,-197.61,-437.54,-1203.85,-1123.17,-837.86,-147.18
125,-200.64,-118.95,81.69,159.77,-141.17,-18.66,-135.06,-368.01,-1113.08,-1044.51,-784.39,-155.25
126,-249.01,-152.22,96.79,200.59,-172.90,-27.74,-62.51,-295.41,-1027.40,-977.97,-749.10,-192.56
127,-274.21,-171.36,102.85,222.76,-188.53,-34.28,9.04,-221.80,-937.68,-907.43,-716.84,-226.85
128,-290.36,-204.63,85.73,247.47,-188.05,-59.48,91.74,-131.07,-850.94,-847.91,-694.68,-270.17
129,-321.61,-250.02,71.59,285.79,-196.60,-89.24,166.36,-49.38,-779.35,-801.56,-679.53,-310.51
130,-332.72,-284.30,48.42,308.49,-190.59,-117.94,243.96,32.26,-708.76,-752.13,-655.35,-331.71
131,-316.57,-308.49,8.08,312.53,-162.32,-150.21,320.60,117.94,-633.18,-699.72,-620.05,-326.66
132,-305.46,-336.71,-31.25,321.09,-137.13,-184.01,379.07,187.52,-576.68,-662.41,-600.92,-332.72
133,-310.51,-357.92,-47.41,334.21,-131.55,-202.66,424.46,235.89,-536.39,-632.17,-580.72,-341.76
134,-314.55,-369.98,-55.44,342.24,-129.58,-212.71,444.61,258.10,-514.18,-605.92,-559.57,-345.80
135,-303.44,-357.92,-54.48,330.65,-124.48,-206.22,443.60,262.14,-501.10,-584.76,-537.40,-340.75
136,-300.46,-352.87,-52.41,326.66,-124.05,-202.66,438.55,260.12,-487.97,-564.62,-516.20,-338.73
137,-303.44,-358.93,-55.49,331.18,-124.00,-207.23,421.43,251.03,-475.86,-543.41,-498.07,-341.76
138,-304.45,-355.90,-51.45,330.17,-126.50,-203.67,409.31,248.00,-455.71,-517.21,-470.81,-333.73
139,-294.40,-356.91,-62.51,325.65,-115.97,-209.73,416.38,262.14,-423.45,-484.95,-443.60,-324.64
140,-275.22,-352.87,-77.65,314.02,-98.81,-215.26,419.41,277.24,-389.17,-452.68,-414.36,-311.52
141,-265.17,-353.88,-88.71,309.50,-88.23,-221.32,416.38,283.29,-359.94,-426.48,-395.23,-301.47
142,-246.99,-347.82,-100.83,297.38,-73.08,-224.35,406.29,279.25,-339.74,-405.28,-381.09,-301.47
143,-228.87,-342.77,-113.90,285.79,-57.50,-228.34,398.26,275.22,-317.58,-383.11,-361.95,-290.36
144,-220.79,-340.75,-119.96,280.75,-50.44,-230.36,392.20,271.18,-291.37,-355.90,-335.75,-267.19
145,-208.67,-336.71,-128.04,272.67,-40.34,-232.38,379.07,263.15,-272.19,-335.75,-321.61,-266.18
146,-190.55,-328.68,-138.14,259.59,-26.20,-233.43,363.97,261.13,-252.04,-314.55,-304.45,-256.08
147,-172.37,-324.64,-152.27,248.48,-10.05,-238.48,353.88,259.11,-231.90,-291.37,-278.25,-230.89
148,-160.30,-325.65,-165.35,242.95,2.50,-245.50,350.85,254.06,-217.76,-277.24,-269.16,-229.88
149,-152.22,-318.59,-166.36,235.40,7.07,-242.47,332.72,236.90,-212.71,-269.16,-260.12,-227.86
150,-142.13,-311.52,-169.39,226.80,13.61,-240.45,320.60,228.87,-202.61,-257.09,-249.01,-216.75
151,-135.06,-310.51,-175.45,222.76,20.19,-243.00,325.65,242.95,-180.45,-238.91,-235.89,-208.67
152,-122.99,-301.47,-178.48,212.23,27.74,-239.97,321.61,241.94,-163.33,-220.79,-217.76,-198.62
153,-109.87,-282.28,-172.42,196.07,31.25,-227.38,312.53,241.94,-139.10,-194.58,-192.56,-173.38
154,-91.74,-270.17,-178.43,180.93,43.32,-224.30,307.48,249.01,-121.98,-180.45,-180.45,-164.34
155,-81.64,-265.17,-183.53,173.38,50.92,-224.35,301.47,243.96,-109.87,-167.37,-172.37,-173.38
156,-80.63,-252.04,-171.41,166.31,45.39,-211.75,295.41,238.91,-89.72,-147.18,-156.26,-162.32
157,-69.53,-222.81,-153.28,146.17,41.88,-188.05,293.39,243.96,-65.53,-125.01,-138.09,-144.15
158,-61.50,-210.69,-149.20,136.07,43.85,-179.97,292.38,252.04,-39.28,-99.82,-116.93,-137.08
159,-51.40,-203.62,-152.22,127.51,50.39,-177.95,289.35,253.05,-23.18,-83.66,-104.82,-131.07
160,-46.35,-178.43,-132.08,112.37,42.84,-155.25,288.34,260.12,3.99,-55.44,-76.59,-101.79
161,-48.37,-177.42,-129.05,112.89,40.34,-153.23,282.28,258.10,17.12,-43.32,-65.53,-99.82
162,-48.37,-166.36,-117.99,107.37,34.81,-142.18,278.25,258.10,32.26,-27.21,-55.44,-93.76
163,-58.47,-151.22,-92.75,104.82,17.12,-121.98,281.27,265.17,54.43,-5.00,-35.24,-70.53
164,-55.44,-155.25,-99.82,105.35,22.17,-127.56,271.18,256.08,56.45,-5.00,-40.29,-88.71
165,-31.25,-130.06,-98.81,80.63,33.75,-114.43,257.09,248.00,66.54,7.02,-31.25,-84.67
166,-35.24,-122.99,-87.75,79.09,26.25,-105.39,244.97,234.92,74.57,15.10,-21.16,-71.54
167,-37.26,-117.94,-80.68,77.60,21.68,-99.34,228.87,218.77,84.67,29.23,-6.01,-59.48
168,-23.18,-99.82,-76.64,61.50,26.73,-88.23,208.67,206.65,95.78,43.32,3.99,-54.43
169,-22.17,-86.69,-64.52,54.43,21.16,-75.63,183.48,184.49,101.79,53.42,12.07,-47.36
170,-14.09,-69.53,-55.44,41.78,20.67,-62.51,154.24,160.30,107.85,65.53,26.20,-32.26
171,-14.09,-57.46,-43.37,35.77,14.62,-50.44,129.05,142.13,115.92,76.59,35.24,-31.25
172,-14.09,-47.36,-33.27,30.72,9.57,-40.34,107.85,124.00,120.97,84.67,42.31,-25.19
173,-3.99,-41.30,-37.31,22.65,16.64,-39.33,92.75,108.86,122.99,86.69,46.35,-18.13
174,2.98,-33.27,-36.25,15.15,19.62,-34.76,79.62,98.81,126.02,91.74,49.38,-13.08
175,5.00,-31.25,-36.25,13.13,20.63,-33.75,73.56,91.74,128.04,93.76,51.40,-13.08
176,2.98,-30.24,-33.22,13.61,18.08,-31.73,72.55,91.74,134.10,99.82,57.46,-9.04
177,2.98,-20.15,-23.13,8.56,13.03,-21.64,69.53,89.72,137.08,103.81,60.49,-2.98
178,8.03,-17.12,-25.15,4.52,16.59,-21.11,71.54,91.74,141.12,108.86,64.52,0.96
179,15.10,-19.14,-34.23,2.02,24.67,-26.69,65.53,82.65,141.12,109.87,66.54,0.00
180,18.13,-15.10,-33.22,-1.49,25.68,-24.14,63.52,83.66,145.16,114.91,73.56,6.01
181,19.14,-8.03,-27.17,-5.53,23.13,-17.60,69.53,97.80,154.24,124.00,82.65,15.10
182,18.13,-3.99,-22.12,-7.07,20.10,-13.03,66.54,89.72,152.22,122.99,82.65,13.08
183,17.12,-6.01,-23.13,-5.53,20.10,-14.57,62.51,83.66,148.19,118.95,78.61,8.03
184,21.16,-5.00,-26.16,-8.08,23.66,-15.58,54.43,79.62,145.16,115.92,74.57,1.97
185,26.20,9.04,-17.16,-17.60,21.68,-4.04,56.45,78.61,151.22,121.98,81.64,9.04
186,12.07,-8.03,-20.10,-2.02,16.06,-14.04,52.41,75.58,145.16,116.93,77.60,7.02
187,-3.99,-29.23,-25.24,16.59,10.63,-27.26,45.34,68.52,141.12,111.88,72.55,0.00
188,-0.96,-18.13,-17.16,9.52,8.08,-17.65,45.34,68.52,144.15,116.93,77.60,6.01
189,5.00,-14.09,-19.09,4.52,12.02,-16.59,47.36,68.52,145.16,119.96,79.62,0.00
190,8.03,-8.03,-16.06,0.00,12.02,-12.02,43.32,68.52,148.19,122.99,81.64,1.97
191,10.05,-0.96,-11.01,-4.52,10.53,-5.96,40.29,64.52,149.20,125.01,86.69,12.07
192,10.05,-3.99,-14.04,-3.03,12.02,-8.99,43.32,66.54,152.22,126.02,86.69,6.01
193,2.98,-13.08,-16.06,5.05,9.52,-14.57,44.33,66.54,151.22,125.01,85.68,0.00
194,12.07,-8.03,-20.10,-2.02,16.06,-14.04,44.33,67.51,153.23,130.06,92.75,8.03
195,26.20,0.96,-25.24,-13.56,25.72,-12.12,44.33,69.53,156.26,131.07,95.78,15.10
196,21.16,-5.00,-26.16,-8.08,23.66,-15.58,44.33,66.54,156.26,130.06,93.76,15.10
197,26.20,5.00,-21.20,-15.58,23.70,-8.08,46.35,68.52,158.28,134.10,96.79,16.11
198,25.19,1.97,-23.22,-13.56,24.23,-10.63,42.31,64.52,157.27,133.09,94.77,12.07
199,17.12,-14.09,-31.20,-1.49,24.14,-22.65,31.25,58.47,148.19,122.99,87.70,7.02
200,23.18,0.00,-23.18,-11.59,23.18,-11.59,38.27,60.49,152.22,127.03,93.76,11.06
201,28.22,7.02,-21.20,-17.60,24.71,-7.07,41.30,60.49,155.25,131.07,97.80,15.10
202,21.16,0.96,-20.19,-11.06,20.67,-9.62,37.26,58.47,150.21,126.02,91.74,13.08
203,16.11,-1.97,-18.08,-7.07,17.07,-10.00,34.23,54.43,147.18,124.00,87.70,10.05
204,19.14,3.99,-15.15,-11.54,17.16,-5.58,33.27,56.45,150.21,128.04,92.75,20.15
205,19.14,8.03,-11.11,-13.56,15.15,-1.54,34.23,57.46,151.22,131.07,94.77,18.13
206,27.21,9.04,-18.17,-18.13,22.69,-4.57,31.25,56.45,149.20,130.06,94.77,14.09
207,32.26,13.08,-19.18,-22.65,25.72,-3.03,33.27,61.50,155.25,134.10,100.83,22.17
208,31.25,14.09,-17.16,-22.65,24.23,-1.54,33.27,59.48,153.23,132.08,97.80,19.14
209,28.22,15.10,-13.13,-21.64,20.67,1.01,34.23,60.49,152.22,134.10,99.82,21.16
210,18.13,15.10,-3.03,-16.59,10.58,6.06,35.24,62.51,156.26,139.10,103.81,24.18
211,28.22,23.18,-5.05,-25.68,16.64,9.09,34.23,61.50,156.26,138.09,102.80,24.18
212,32.26,23.18,-9.09,-27.69,20.67,7.07,31.25,59.48,155.25,138.09,103.81,22.17
213,17.12,10.05,-7.07,-13.56,12.12,1.49,33.27,58.47,153.23,134.10,100.83,16.11
214,24.18,10.05,-14.14,-17.12,19.18,-2.02,32.26,58.47,152.22,131.07,100.83,18.13
215,25.19,13.08,-12.12,-19.14,18.66,0.48,29.23,56.45,152.22,134.10,104.82,24.18
216,20.15,9.04,-11.11,-14.57,15.63,-1.01,31.25,56.45,154.24,132.08,105.83,23.18
217,28.22,13.08,-15.15,-20.63,21.68,-1.01,24.18,47.36,148.19,126.02,101.79,20.15
218,31.25,16.11,-15.15,-23.66,23.22,0.48,22.17,50.39,152.22,132.08,107.85,31.25
219,25.19,15.10,-10.10,-20.15,17.65,2.50,29.23,58.47,158.28,136.07,112.89,38.27
220,15.10,9.04,-6.06,-12.07,10.58,1.49,29.23,54.43,156.26,133.09,108.86,32.26
221,23.18,14.09,-9.09,-18.61,16.16,2.50,25.19,53.42,156.26,134.10,109.87,30.24
222,29.23,21.16,-8.08,-25.19,18.66,6.54,22.17,53.42,154.24,133.09,111.88,32.26
223,25.19,16.11,-9.09,-20.63,17.16,3.51,20.15,49.38,151.22,131.07,106.84,29.23
224,20.15,15.10,-5.05,-17.60,12.60,5.05,20.15,49.38,151.22,129.05,103.81,23.18
225,20.15,18.13,-2.02,-19.14,11.11,8.08,21.16,48.37,152.22,130.06,105.83,24.18
226,26.20,23.18,-3.03,-24.67,14.62,10.10,23.18,49.38,152.22,133.09,108.86,29.23
227,26.20,22.17,-4.04,-24.18,15.15,9.09,25.19,53.42,156.26,134.10,108.86,29.23
228,25.19,20.15,-5.05,-22.65,15.15,7.55,21.16,49.38,153.23,129.05,104.82,31.25
229,29.23,23.18,-6.06,-26.20,17.65,8.56,25.19,52.41,155.25,132.08,107.85,31.25
230,39.28,29.23,-10.05,-34.23,24.67,9.62,21.16,51.40,155.25,132.08,107.85,31.25
231,27.21,22.17,-5.05,-24.67,16.16,8.56,19.14,48.37,152.22,130.06,104.82,32.26
232,24.18,27.21,3.03,-25.68,10.58,15.15,30.24,56.45,156.26,135.06,109.87,31.25
233,38.27,35.24,-3.03,-36.73,20.67,16.11,16.11,46.35,153.23,134.10,111.88,38.27
234,26.20,18.13,-8.08,-22.17,17.16,5.05,11.06,41.30,150.21,133.09,112.89,39.28
235,10.05,14.09,4.04,-12.07,3.03,9.09,17.12,42.31,150.21,134.10,113.90,40.29
236,2.98,8.03,5.05,-5.48,-1.01,6.54,14.09,41.30,147.18,131.07,109.87,34.23
237,9.04,9.04,0.00,-9.04,4.52,4.52,17.12,42.31,145.16,129.05,104.82,26.20
238,16.11,14.09,-2.02,-15.10,9.09,6.06,11.06,34.23,140.11,128.04,102.80,27.21
239,16.11,17.12,1.01,-16.59,7.55,9.09,14.09,41.30,143.14,131.07,107.85,32.26
240,22.17,29.23,7.07,-25.68,7.55,18.17,26.20,50.39,148.19,136.07,111.88,35.24
241,29.23,35.24,6.01,-32.21,11.64,20.63,18.13,39.28,146.17,139.10,113.90,41.30
242,37.26,38.27,1.01,-37.74,18.13,19.67,10.05,36.25,144.15,137.08,112.89,38.27
243,23.18,34.23,11.06,-28.70,6.06,22.65,6.01,34.23,139.10,132.08,110.87,35.24
244,6.01,28.22,22.21,-17.12,-8.08,25.24,3.99,30.24,138.09,134.10,113.90,49.38
245,9.04,20.15,11.11,-14.57,-1.01,15.63,3.99,28.22,136.07,130.06,110.87,42.31
246,14.09,23.18,9.09,-18.61,2.50,16.16,0.00,27.21,133.09,126.02,105.83,26.20
247,15.10,28.22,13.13,-21.64,1.01,20.67,5.00,31.25,136.07,128.04,106.84,28.22
248,23.18,37.26,14.09,-30.19,4.57,25.68,5.00,31.25,137.08,130.06,111.88,37.26
249,23.18,34.23,11.06,-28.70,6.06,22.65,2.98,28.22,135.06,129.05,112.89,36.25
250,22.17,30.24,8.08,-26.20,7.07,19.18,8.03,31.25,135.06,126.02,109.87,31.25
251,22.17,39.28,17.12,-30.72,2.55,28.22,-0.96,26.20,130.06,124.00,109.87,33.27
252,16.11,39.28,23.18,-27.69,-3.51,31.25,-9.04,20.15,126.02,120.97,107.85,33.27
253,9.04,43.32,34.28,-26.16,-12.60,38.80,0.00,25.19,129.05,124.00,109.87,36.25
